vacancy_name,company,city,salary_min,salary_max,currency,vacancy_link,site
Python Developer,Кадровое агентство Smart Business,Москва,120000.0,280000.0,Руб,https://vladivostok.hh.ru/vacancy/52296666?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Quantitative Developer,Gara.capital,Москва,400000.0,,Руб,https://vladivostok.hh.ru/vacancy/52275325?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python developer,Integrity Solutions,Москва,,,,https://vladivostok.hh.ru/vacancy/52656477?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python-разработчик в Лавку,Яндекс,Москва,,,,https://vladivostok.hh.ru/vacancy/51428890?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Программист-аналитик,ТКсэт,Москва,,,,https://vladivostok.hh.ru/vacancy/52297458?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python-разработчик в R&D отдел,ООО Селфсек,Москва,100000.0,150000.0,Руб,https://vladivostok.hh.ru/vacancy/48504798?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
DevOps инженер,HR Prime,Москва,320000.0,531250.0,Руб,https://vladivostok.hh.ru/vacancy/52519773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Senior Python Developer,IT_Selection,Москва,230000.0,350000.0,Руб,https://vladivostok.hh.ru/vacancy/52656647?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Программист С++ (Middle / Senior),ООО КВАНТ ПРОГРАММ,Москва,180000.0,,Руб,https://vladivostok.hh.ru/vacancy/50101775?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data scientist,Астор,Москва,300000.0,,Руб,https://vladivostok.hh.ru/vacancy/51710392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
PostgreSQL Senior Development Specialist,JuicyScore,Москва,300000.0,400000.0,Руб,https://vladivostok.hh.ru/vacancy/49667270?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python-разработчик систем сбора,ООО Селфсек,Москва,100000.0,150000.0,Руб,https://vladivostok.hh.ru/vacancy/48504803?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Back-end python программист (удаленно),ООО ВойсЛинк,Москва,200000.0,,Руб,https://vladivostok.hh.ru/vacancy/45987039?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Backend разработчик Python,билайн,Москва,,,,https://vladivostok.hh.ru/vacancy/52030162?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python Developer,ООО Телеформ ИС,Москва,120000.0,160000.0,Руб,https://vladivostok.hh.ru/vacancy/49519307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python-разработчик (проект Поиск),VK,Москва,,,,https://vladivostok.hh.ru/vacancy/51690937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Аналитик данных,Bip.ru,Москва,150000.0,,Руб,https://vladivostok.hh.ru/vacancy/52276221?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle Python разработчик,Level.Travel,Москва,,200000.0,Руб,https://vladivostok.hh.ru/vacancy/50073057?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle Python Developer (удаленно),ООО Адва,Москва,2000.0,,Usd,https://vladivostok.hh.ru/vacancy/52666592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior DevOps,PointPay,Москва,,,,https://vladivostok.hh.ru/vacancy/51999336?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
ML research engineer,Galileo Labs,Москва,150000.0,,Руб,https://vladivostok.hh.ru/vacancy/51705175?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Senior Backend Developer (Python/Django),Skipp.pro,Москва,,275000.0,Руб,https://vladivostok.hh.ru/vacancy/52626125?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle/Senior Data Scientist (Recommender Systems),FUNCORP,Москва,220000.0,300000.0,Руб,https://vladivostok.hh.ru/vacancy/51956595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data scientist / Product analyst,Bip.ru,Москва,200000.0,250000.0,Руб,https://vladivostok.hh.ru/vacancy/52276251?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Senior ML Researcher,Red Cedar,Москва,300000.0,,Руб,https://vladivostok.hh.ru/vacancy/49383447?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Программист-аналитик,ТКсэт,Москва,,,,https://vladivostok.hh.ru/vacancy/52297458?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Ведущий Backend разработчик для разработки платежного процессинга маркетплейса услуг,ITHR.space,Москва,300000.0,550000.0,Руб,https://vladivostok.hh.ru/vacancy/51954640?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Аналитик данных,Bip.ru,Москва,150000.0,,Руб,https://vladivostok.hh.ru/vacancy/52276221?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
